_id,pais_procedencia,ciudad_procedencia,puerto_procedencia,pais_destino,ciudad_destino,puerto_destino,fecha_llegada,fecha_salida,estado_solicitud,buque.matricula,buque.nombre,buque.tipo_buque,buque.dimensiones.peso,buque.dimensiones.largo,buque.dimensiones.ancho,muelle.nombre,muelle.estado,admin[0].id,admin[1].id,admin[2].id,admin[0].nombre,admin[1].nombre,admin[2].nombre,agente_navieros[0].id,agente_navieros[1].id,agente_navieros[2].id,agente_navieros[0].nombre,agente_navieros[1].nombre,agente_navieros[2].nombre
68102b96f121f1c634bbf71b,French Southern Territories,Johnnychester,Lester Group,Cook Islands,Millerview,Sullivan-Lee,2025-02-09T21:47:29,2025-04-29T20:29:58.323769,PENDIENTE,EDY 586,Moore-Oneal,Carguero,19826.15,167.86,14.44,coach,FUERA_DE_SERVICIO,68102b96f121f1c634bbf71c,68102b96f121f1c634bbf71d,,Holly Chase,Alexandra Welch,,68102b96f121f1c634bbf71e,68102b96f121f1c634bbf71f,68102b96f121f1c634bbf720,Griffin Inc,"White, Case and Dawson","Hall, Marshall and Henson"
68102b96f121f1c634bbf721,Malaysia,South Allisonside,Mccarty and Sons,Myanmar,North Glenn,Collins Group,2025-03-26T04:56:43,2025-04-29T20:29:58.324789,APROBADO,UEG 379,Casey-Hobbs,Granelero,2408.01,145.96,37.57,trade,FUERA_DE_SERVICIO,68102b96f121f1c634bbf722,68102b96f121f1c634bbf723,,Mackenzie Perry,Rebekah Watkins,,68102b96f121f1c634bbf724,68102b96f121f1c634bbf725,,York-Berry,"Cruz, Morris and Williams",
68102b96f121f1c634bbf726,French Guiana,New Danielleshire,Sanchez and Sons,Cote d'Ivoire,Avilaburgh,Church PLC,2025-04-03T12:38:05,2025-04-30T20:29:58.326787,APROBADO,5E552,"Williams, Hart and Cantu",Petrolero,37201.36,263.97,15.52,through,FUERA_DE_SERVICIO,68102b96f121f1c634bbf727,68102b96f121f1c634bbf728,68102b96f121f1c634bbf729,Robin Wells,Mike Elliott,Shawn Clark,68102b96f121f1c634bbf72a,68102b96f121f1c634bbf72b,68102b96f121f1c634bbf72c,"Kerr, Snow and Price",Middleton and Sons,Gilbert and Sons
68102b96f121f1c634bbf72d,Tuvalu,South Heather,Sampson-Jones,American Samoa,Josephbury,Frost Inc,2025-01-30T07:10:43,2025-05-08T20:29:58.327768,PENDIENTE,LXD 548,Johnson Group,Contenedor,3857.73,184.25,38.81,smile,EN_MANTENIMIENTO,68102b96f121f1c634bbf72e,68102b96f121f1c634bbf72f,68102b96f121f1c634bbf730,Charles Sanchez,Randall Holland,Daniel Hampton,68102b96f121f1c634bbf731,,,Davis and Sons,,
68102b96f121f1c634bbf732,Palau,East Melinda,"Greene, Benson and Fox",India,Stevensberg,Davis-Young,2025-04-17T14:04:52,2025-05-08T20:29:58.329796,PENDIENTE,HUQ 659,"Hodge, Duncan and Duncan",Carguero,15655.53,226.37,32.53,factor,FUERA_DE_SERVICIO,68102b96f121f1c634bbf733,68102b96f121f1c634bbf734,68102b96f121f1c634bbf735,Katherine Scott,Nathan Washington,Jocelyn Ray,68102b96f121f1c634bbf736,68102b96f121f1c634bbf737,68102b96f121f1c634bbf738,Moore-Miller,Padilla and Sons,"White, Perry and Robles"
68102b96f121f1c634bbf739,Slovakia (Slovak Republic),Charlesstad,"Johnson, Moore and Long",Argentina,Robertstown,Rhodes PLC,2025-01-23T20:35:05,2025-05-01T20:29:58.330784,RECHAZADO,LXS-3286,Schultz-Randolph,Carguero,45632.75,202.43,16.58,risk,EN_USO,68102b96f121f1c634bbf73a,,,Ashley Miles,,,68102b96f121f1c634bbf73b,68102b96f121f1c634bbf73c,,Wolfe Group,Carey-White,
68102b96f121f1c634bbf73d,Niger,Aaronview,"Washington, Robbins and Morrow",Mongolia,Port Zachary,Barron Ltd,2025-04-01T09:25:19,2025-05-02T20:29:58.331780,PENDIENTE,KGU 992,"Peterson, Padilla and Thompson",Petrolero,11436.49,200.66,46.09,rich,EN_MANTENIMIENTO,68102b96f121f1c634bbf73e,68102b96f121f1c634bbf73f,,Kimberly Moore,Sharon Becker,,68102b96f121f1c634bbf740,,,Pearson Group,,
68102b96f121f1c634bbf741,Central African Republic,Port Amandatown,Little and Sons,Belarus,West Keith,"Webb, Daniels and Savage",2025-04-22T20:26:28,2025-04-30T20:29:58.332780,RECHAZADO,822 WWB,"Smith, Campbell and Gibbs",Granelero,20617.27,154.8,14.33,Republican,EN_MANTENIMIENTO,68102b96f121f1c634bbf742,68102b96f121f1c634bbf743,,Alexander Quinn,Michelle Pratt,,68102b96f121f1c634bbf744,,,Hess-Rollins,,
68102b96f121f1c634bbf745,Saint Kitts and Nevis,Griffinmouth,"Brock, Bryant and Sherman",Bouvet Island (Bouvetoya),North Samantha,"Kelley, Morris and Smith",2025-02-28T00:11:29,2025-05-04T20:29:58.334766,APROBADO,WAS-7144,York-Fox,Carguero,46351.42,137.07,31.79,half,DISPONIBLE,68102b96f121f1c634bbf746,68102b96f121f1c634bbf747,68102b96f121f1c634bbf748,Anthony Black,Jay Lucas,Kelly Hart,68102b96f121f1c634bbf749,,,Lopez Inc,,
68102b96f121f1c634bbf74a,Svalbard & Jan Mayen Islands,New Benjamin,Moran Ltd,Swaziland,Lindatown,Gutierrez Group,2025-02-18T11:41:25,2025-05-02T20:29:58.335299,APROBADO,6PB0638,"Mcgee, Montgomery and Jones",Granelero,19616.13,256.49,33.41,generation,EN_MANTENIMIENTO,68102b96f121f1c634bbf74b,68102b96f121f1c634bbf74c,,Patrick Scott,Vanessa Robinson,,68102b96f121f1c634bbf74d,68102b96f121f1c634bbf74e,68102b96f121f1c634bbf74f,Brown-Cherry,"Williams, Garcia and Robertson","Wilkinson, Murphy and Werner"
