_id,descripcion_servicio,total,iva,fecha_emision,fecha_vencimiento,estado,procesos[0].tipo_operacion,procesos[1].tipo_operacion,procesos[2].tipo_operacion,procesos[0].tipo_carga,procesos[1].tipo_carga,procesos[2].tipo_carga,procesos[0].tipo_producto,procesos[1].tipo_producto,procesos[2].tipo_producto,procesos[0].cantidad,procesos[1].cantidad,procesos[2].cantidad,procesos[0].precio_unitario,procesos[1].precio_unitario,procesos[2].precio_unitario,procesos[0].subtotal,procesos[1].subtotal,procesos[2].subtotal,procesos[0].descripcion,procesos[1].descripcion,procesos[2].descripcion,procesos[0].maquinas[0].nombre,procesos[1].maquinas[0].nombre,procesos[0].maquinas[1].nombre,procesos[2].maquinas[0].nombre,procesos[1].maquinas[1].nombre,procesos[2].maquinas[1].nombre,procesos[0].maquinas[0].estado,procesos[1].maquinas[0].estado,procesos[0].maquinas[1].estado,procesos[2].maquinas[0].estado,procesos[1].maquinas[1].estado,procesos[2].maquinas[1].estado,procesos[0].maquinas[0].cantidad,procesos[1].maquinas[0].cantidad,procesos[0].maquinas[1].cantidad,procesos[2].maquinas[0].cantidad,procesos[1].maquinas[1].cantidad,procesos[2].maquinas[1].cantidad,usuarios[0]
6816ad9504ea5839aa7eac2a,Reveal natural nation well former suddenly when.,90511,14451.4,2025-05-03 18:58:13,2025-06-24 18:58:13,PENDIENTE,SOLICITUD_DESCARGA,SOLICITUD_DESCARGA,,LQ,GS,,city,pass,,2,2,,14432,23598,,28864,47196,,Future authority purpose stop project great.,Sit hold although strong consider generation his.,,thank,TV,,,,,EN_USO,DISPONIBLE,,,,,9,2,,,,,6816ad9504ea5839aa7ea90a
6816ad9504ea5839aa7eac2b,Organization age step shake which form bed.,312210,49848.59,2025-05-03 18:58:13,2025-06-11 18:58:13,PAGADA,SOLICITUD_CARGA,SOLICITUD_CARGA,SOLICITUD_DESCARGA,GS,CG,CG,quality,court,happy,1,1,5,28843,19653,42773,28843,19653,213865,Focus say however gas serious.,Great their game car go late lead.,Develop onto our white girl could.,eye,none,rate,sing,,,EN_USO,EN_USO,FUERA_DE_SERVICIO,FUERA_DE_SERVICIO,,,10,3,7,8,,,6816ad9504ea5839aa7ea90b
6816ad9504ea5839aa7eac2c,Mind adult contain sit.,493057,78723.46,2025-05-03 18:58:13,2025-06-16 18:58:13,ATRASADO,SOLICITUD_CARGA,SOLICITUD_DESCARGA,,LQ,CG,,resource,room,,10,4,,24003,43576,,240030,174304,,Kid think security remember order professor.,Begin population national where energy.,,space,politics,when,,,,DISPONIBLE,DISPONIBLE,EN_MANTENIMIENTO,,,,3,2,4,,,,6816ad9504ea5839aa7ea90c
6816ad9504ea5839aa7eac2d,Reason including maybe blue.,199394,31836.02,2025-05-03 18:58:13,2025-06-08 18:58:13,CANCELADO,SOLICITUD_DESCARGA,SOLICITUD_DESCARGA,SOLICITUD_DESCARGA,RO,LQ,GS,cause,human,talk,1,4,1,40255,22466,37439,40255,89864,37439,What change treatment drop company.,Author similar success maybe.,Head place left community.,among,suffer,,may,,,DISPONIBLE,EN_USO,,EN_MANTENIMIENTO,,,5,3,,9,,,6816ad9504ea5839aa7ea90d
6816ad9504ea5839aa7eac2e,Body rate someone tend fund town level.,186859,29834.56,2025-05-03 18:58:13,2025-07-01 18:58:13,PENDIENTE,SOLICITUD_CARGA,,,CN,,,government,,,7,,,22432,,,157024,,,Mission as plan build son.,,,very,,game,,,,DISPONIBLE,,EN_MANTENIMIENTO,,,,2,,6,,,,6816ad9504ea5839aa7ea90e
6816ad9504ea5839aa7eac2f,War study many.,24950,3983.54,2025-05-03 18:58:13,2025-06-30 18:58:13,PENDIENTE,SOLICITUD_DESCARGA,,,CG,,,offer,,,2,,,10483,,,20966,,,Clearly off manage place.,,,hear,,read,,,,DISPONIBLE,,EN_MANTENIMIENTO,,,,4,,5,,,,6816ad9504ea5839aa7ea90f
6816ad9504ea5839aa7eac30,Which education true man none increase.,596705,95272.27,2025-05-03 18:58:13,2025-06-06 18:58:13,PENDIENTE,SOLICITUD_CARGA,SOLICITUD_DESCARGA,,LQ,GS,,civil,sound,,5,7,,34012,47339,,170060,331373,,Feeling treat technology network.,Another behind yeah.,,fly,school,save,,,,DISPONIBLE,EN_MANTENIMIENTO,EN_MANTENIMIENTO,,,,4,3,2,,,,6816ad9504ea5839aa7ea910
6816ad9504ea5839aa7eac31,Serious available wait finish she energy term.,289074,46154.61,2025-05-03 18:58:13,2025-06-19 18:58:13,PENDIENTE,SOLICITUD_DESCARGA,,,RO,,,entire,,,9,,,26991,,,242919,,,Music son half election create sister personal.,,,explain,,,,,,DISPONIBLE,,,,,,6,,,,,,6816ad9504ea5839aa7ea911
6816ad9504ea5839aa7eac32,Important end down recently stand follow size.,547999,87495.57,2025-05-03 18:58:13,2025-06-07 18:58:13,ATRASADO,SOLICITUD_DESCARGA,SOLICITUD_CARGA,,LQ,LQ,,force,yard,,10,3,,42834,10721,,428340,32163,,Fall value find performance treat current interesting.,Matter fly much discover manage.,,recently,successful,five,,thing,,FUERA_DE_SERVICIO,DISPONIBLE,DISPONIBLE,,FUERA_DE_SERVICIO,,8,8,2,,8,,6816ad9504ea5839aa7ea912
6816ad9504ea5839aa7eac33,History part fine probably amount light game really.,268250,42829.8,2025-05-03 18:58:13,2025-06-19 18:58:13,ATRASADO,SOLICITUD_CARGA,SOLICITUD_CARGA,SOLICITUD_CARGA,CG,LQ,CN,area,style,exist,8,3,4,12667,23508,13390,101336,70524,53560,Worker drop low most together wonder yes.,Enjoy style everybody popular mouth.,Stand most little education institution.,president,group,,compare,,,DISPONIBLE,EN_USO,,EN_USO,,,9,7,,2,,,6816ad9504ea5839aa7ea913
6816ad9504ea5839aa7eac34,Edge less computer of continue.,349084,55736.12,2025-05-03 18:58:13,2025-06-13 18:58:13,CANCELADO,SOLICITUD_CARGA,SOLICITUD_DESCARGA,,CN,CN,,as,participant,,3,7,,39615,24929,,118845,174503,,Sound girl other western must you energy.,Vote employee project project special.,,themselves,center,,,,,EN_MANTENIMIENTO,DISPONIBLE,,,,,1,6,,,,,6816ad9504ea5839aa7ea914
6816ad9504ea5839aa7eac35,Against note occur return.,28634,4571.78,2025-05-03 18:58:13,2025-06-27 18:58:13,PENDIENTE,SOLICITUD_CARGA,,,GL,,,however,,,1,,,24062,,,24062,,,President their real listen yeah spring.,,,first,,them,,,,FUERA_DE_SERVICIO,,DISPONIBLE,,,,5,,4,,,,6816ad9504ea5839aa7ea915
6816ad9504ea5839aa7eac36,Daughter deep ahead likely.,483002,77117.96,2025-05-03 18:58:13,2025-06-19 18:58:13,CANCELADO,SOLICITUD_DESCARGA,SOLICITUD_CARGA,SOLICITUD_DESCARGA,GL,RO,GL,as,environment,quality,8,4,4,13604,46812,27451,108832,187248,109804,Very work court sure speech.,Window church too here speak pull.,Order safe religious really than city cold good.,fact,without,,church,civil,it,EN_USO,DISPONIBLE,,EN_MANTENIMIENTO,FUERA_DE_SERVICIO,DISPONIBLE,9,5,,7,7,2,6816ad9504ea5839aa7ea916
6816ad9504ea5839aa7eac37,Special road respond physical.,233233,37238.86,2025-05-03 18:58:13,2025-06-28 18:58:13,PENDIENTE,SOLICITUD_DESCARGA,SOLICITUD_DESCARGA,,CN,CN,,country,account,,1,4,,14018,45494,,14018,181976,,Area choose risk professional.,Thus reveal former his move.,,to,same,sell,,,,FUERA_DE_SERVICIO,EN_MANTENIMIENTO,FUERA_DE_SERVICIO,,,,3,4,7,,,,6816ad9504ea5839aa7ea917
6816ad9504ea5839aa7eac38,Always difficult thank cup.,269612,43047.35,2025-05-03 18:58:13,2025-06-12 18:58:13,PENDIENTE,SOLICITUD_CARGA,,,GL,,,attention,,,5,,,45313,,,226565,,,Likely president ball someone call late week.,,,economic,,,,,,EN_USO,,,,,,10,,,,,,6816ad9504ea5839aa7ea918
6816ad9504ea5839aa7eac39,Skill cold born ago popular himself leave.,12727,2032.05,2025-05-03 18:58:13,2025-06-22 18:58:13,PAGADA,SOLICITUD_DESCARGA,,,RO,,,color,,,1,,,10695,,,10695,,,Who shake participant present.,,,grow,,,,,,EN_MANTENIMIENTO,,,,,,3,,,,,,6816ad9504ea5839aa7ea919
6816ad9504ea5839aa7eac3a,Provide manage rock first movement.,149149,23813.65,2025-05-03 18:58:13,2025-06-19 18:58:13,PAGADA,SOLICITUD_CARGA,,,CG,,,measure,,,5,,,25067,,,125335,,,Place pull look live opportunity.,,,federal,,I,,,,DISPONIBLE,,EN_MANTENIMIENTO,,,,2,,7,,,,6816ad9504ea5839aa7ea91a
6816ad9504ea5839aa7eac3b,Model remain attention.,94919,15155.16,2025-05-03 18:58:13,2025-06-20 18:58:13,PENDIENTE,SOLICITUD_CARGA,,,RO,,,side,,,3,,,26588,,,79764,,,Federal improve own mind effort beyond strong yes.,,,hard,,,,,,EN_USO,,,,,,9,,,,,,6816ad9504ea5839aa7ea91b
6816ad9504ea5839aa7eac3c,Several study couple such soldier college.,725219,115791.32,2025-05-03 18:58:13,2025-06-17 18:58:13,CANCELADO,SOLICITUD_CARGA,SOLICITUD_DESCARGA,,GS,GL,,far,want,,8,10,,33931,33798,,271448,337980,,We management culture wrong former base yet.,Day assume religious government.,,me,create,,,pattern,,EN_MANTENIMIENTO,EN_USO,,,DISPONIBLE,,8,6,,,4,,6816ad9504ea5839aa7ea91c
6816ad9504ea5839aa7eac3d,Church music ready happen several response.,51026,8147.01,2025-05-03 18:58:13,2025-06-11 18:58:13,PAGADA,SOLICITUD_DESCARGA,SOLICITUD_DESCARGA,,GL,LQ,,low,either,,2,1,,13816,15247,,27632,15247,,Book community quickly current yes south husband.,Forward together worry season protect everybody police.,,tree,seat,,,,,EN_USO,FUERA_DE_SERVICIO,,,,,3,9,,,,,6816ad9504ea5839aa7ea91d
6816ad9504ea5839aa7eac3e,Partner fear none television over water miss lay.,241942,38629.47,2025-05-03 18:58:13,2025-06-27 18:58:13,CANCELADO,SOLICITUD_CARGA,SOLICITUD_CARGA,SOLICITUD_DESCARGA,GS,CG,RO,describe,after,no,1,8,5,25725,11581,16988,25725,92648,84940,Whole per head ability.,Resource effect small image should partner.,Begin admit deep visit.,heart,least,,because,particular,,EN_USO,DISPONIBLE,,EN_USO,FUERA_DE_SERVICIO,,7,4,,9,8,,6816ad9504ea5839aa7ea91e
6816ad9504ea5839aa7eac3f,Able perhaps since every market whether sister.,447496,71448.93,2025-05-03 18:58:13,2025-06-14 18:58:13,PAGADA,SOLICITUD_CARGA,SOLICITUD_CARGA,,GS,CN,,land,in,,3,8,,22629,38520,,67887,308160,,Accept home hard crime sure wall.,Page along three economy strong cold low.,,war,dark,nature,,direction,,DISPONIBLE,EN_MANTENIMIENTO,FUERA_DE_SERVICIO,,EN_MANTENIMIENTO,,4,8,4,,9,,6816ad9504ea5839aa7ea91f
6816ad9504ea5839aa7eac40,Accept describe fire physical soon election.,224271,35807.97,2025-05-03 18:58:13,2025-06-11 18:58:13,ATRASADO,SOLICITUD_DESCARGA,SOLICITUD_DESCARGA,,GL,GL,,culture,short,,4,5,,20572,21235,,82288,106175,,Throw new appear floor.,Which court give you reach action.,,nothing,natural,,,,,DISPONIBLE,DISPONIBLE,,,,,6,4,,,,,6816ad9504ea5839aa7ea920
6816ad9504ea5839aa7eac41,Pretty onto speak item.,24539,3917.99,2025-05-03 18:58:13,2025-06-03 18:58:13,PENDIENTE,SOLICITUD_CARGA,,,CG,,,same,,,1,,,20621,,,20621,,,Product rest writer cover new.,,,successful,,nothing,,,,FUERA_DE_SERVICIO,,EN_MANTENIMIENTO,,,,4,,1,,,,6816ad9504ea5839aa7ea921
6816ad9504ea5839aa7eac42,Push watch garden dark civil local yeah civil.,203861,32549.28,2025-05-03 18:58:13,2025-06-04 18:58:13,PAGADA,SOLICITUD_DESCARGA,SOLICITUD_CARGA,,RO,CN,,sense,tonight,,2,2,,46032,39624,,92064,79248,,Case should energy market money hospital.,Under through nature officer new voice cause.,,avoid,third,,,,,EN_MANTENIMIENTO,EN_MANTENIMIENTO,,,,,7,10,,,,,6816ad9504ea5839aa7ea922
6816ad9504ea5839aa7eac43,Election material tell office certainly.,831800,132808.48,2025-05-03 18:58:13,2025-06-15 18:58:13,PENDIENTE,SOLICITUD_CARGA,SOLICITUD_CARGA,SOLICITUD_DESCARGA,GS,LQ,CN,serve,share,of,6,10,6,32133,35320,25499,192798,353200,152994,Prevent nation change provide people.,Like job see keep process own.,Action kitchen become choice possible.,budget,experience,pull,eat,central,,DISPONIBLE,EN_USO,FUERA_DE_SERVICIO,EN_USO,EN_MANTENIMIENTO,,1,10,3,1,4,,6816ad9504ea5839aa7ea923
6816ad9504ea5839aa7eac44,Produce market allow western adult.,457322,73017.76,2025-05-03 18:58:13,2025-06-12 18:58:13,PENDIENTE,SOLICITUD_CARGA,SOLICITUD_CARGA,,CN,LQ,,summer,likely,,10,4,,19516,47286,,195160,189144,,Whatever on quickly indeed piece.,Billion section here receive suddenly.,,itself,notice,,,wait,,EN_USO,DISPONIBLE,,,FUERA_DE_SERVICIO,,9,1,,,2,,6816ad9504ea5839aa7ea924
6816ad9504ea5839aa7eac45,Sit week just response she drug.,536022,85583.41,2025-05-03 18:58:13,2025-06-04 18:58:13,CANCELADO,SOLICITUD_DESCARGA,SOLICITUD_DESCARGA,SOLICITUD_CARGA,RO,GS,CG,Democrat,plan,heart,6,3,4,23148,48397,41590,138888,145191,166360,Rich choice watch improve.,Road store senior drive keep read color experience.,Their church collection say west.,start,mean,face,respond,,,EN_USO,EN_MANTENIMIENTO,FUERA_DE_SERVICIO,EN_USO,,,2,1,4,7,,,6816ad9504ea5839aa7ea925
6816ad9504ea5839aa7eac46,Factor person too.,156366,24966,2025-05-03 18:58:13,2025-06-21 18:58:13,CANCELADO,SOLICITUD_DESCARGA,,,CG,,,point,,,10,,,13140,,,131400,,,Recently candidate sit great six.,,,green,,,,,,DISPONIBLE,,,,,,7,,,,,,6816ad9504ea5839aa7ea926
6816ad9504ea5839aa7eac47,Would eat computer heart common agree claim.,525897,83966.7,2025-05-03 18:58:13,2025-06-06 18:58:13,ATRASADO,SOLICITUD_CARGA,,,LQ,,,parent,,,10,,,44193,,,441930,,,Any watch they road protect.,,,fund,,total,,,,EN_USO,,EN_MANTENIMIENTO,,,,3,,2,,,,6816ad9504ea5839aa7ea927
6816ad9504ea5839aa7eac48,Son go main people interview as watch.,366691,58547.36,2025-05-03 18:58:13,2025-06-23 18:58:13,PENDIENTE,SOLICITUD_DESCARGA,,,RO,,,north,,,8,,,38518,,,308144,,,Usually law war.,,,piece,,,,,,EN_USO,,,,,,6,,,,,,6816ad9504ea5839aa7ea928
6816ad9504ea5839aa7eac49,Play role very huge open.,820388,130986.38,2025-05-03 18:58:13,2025-06-12 18:58:13,CANCELADO,SOLICITUD_CARGA,SOLICITUD_CARGA,,LQ,GL,,yard,window,,7,9,,37079,47761,,259553,429849,,Plan radio move they company important message.,Design red we result try red.,,why,television,investment,,film,,EN_MANTENIMIENTO,FUERA_DE_SERVICIO,FUERA_DE_SERVICIO,,EN_USO,,9,5,5,,10,,6816ad9504ea5839aa7ea929
6816ad9504ea5839aa7eac4a,Once morning computer know dream.,261800,41800,2025-05-03 18:58:13,2025-06-03 18:58:13,PAGADA,SOLICITUD_DESCARGA,SOLICITUD_CARGA,,GL,CN,,determine,whole,,4,3,,18277,48964,,73108,146892,,Ability wall per happy.,Unit high coach north finally bring down.,,baby,carry,home,,region,,DISPONIBLE,FUERA_DE_SERVICIO,FUERA_DE_SERVICIO,,EN_USO,,2,9,8,,9,,6816ad9504ea5839aa7ea92a
6816ad9504ea5839aa7eac4b,War state build itself ahead than.,429644,68598.55,2025-05-03 18:58:13,2025-06-14 18:58:13,PENDIENTE,SOLICITUD_DESCARGA,SOLICITUD_DESCARGA,,LQ,RO,,three,take,,4,9,,48895,18385,,195580,165465,,Board somebody he short another.,Movie piece house if ready other along.,,front,join,west,,most,,EN_MANTENIMIENTO,FUERA_DE_SERVICIO,FUERA_DE_SERVICIO,,FUERA_DE_SERVICIO,,10,4,8,,8,,6816ad9504ea5839aa7ea92b
6816ad9504ea5839aa7eac4c,Play by often short article money health.,214854,34304.5,2025-05-03 18:58:13,2025-06-28 18:58:13,PAGADA,SOLICITUD_DESCARGA,,,RO,,,skin,,,10,,,18055,,,180550,,,Pass once hair describe specific up indeed letter.,,,guess,,born,,,,DISPONIBLE,,FUERA_DE_SERVICIO,,,,7,,1,,,,6816ad9504ea5839aa7ea92c
6816ad9504ea5839aa7eac4d,Than staff movie late operation evening hear market.,851265,135916.31,2025-05-03 18:58:13,2025-06-09 18:58:13,CANCELADO,SOLICITUD_DESCARGA,SOLICITUD_CARGA,SOLICITUD_DESCARGA,GS,GL,GL,today,life,employee,5,8,10,32707,28978,31999,163535,231824,319990,Need couple collection.,Run person audience learn always hour.,Whole mother recently carry party.,interview,experience,new,drug,author,themselves,FUERA_DE_SERVICIO,DISPONIBLE,EN_USO,EN_MANTENIMIENTO,EN_USO,FUERA_DE_SERVICIO,4,10,9,9,4,6,6816ad9504ea5839aa7ea92d
6816ad9504ea5839aa7eac4e,Time your develop maintain history as dog stock.,285498,45583.66,2025-05-03 18:58:13,2025-06-13 18:58:13,PAGADA,SOLICITUD_DESCARGA,SOLICITUD_CARGA,SOLICITUD_DESCARGA,CG,LQ,LQ,series,sign,population,8,2,7,11353,19084,15846,90824,38168,110922,Describe goal attorney take too since hit.,Young democratic reality all guess herself.,She pass whole campaign which moment.,staff,people,require,we,car,baby,EN_MANTENIMIENTO,FUERA_DE_SERVICIO,EN_MANTENIMIENTO,FUERA_DE_SERVICIO,EN_MANTENIMIENTO,EN_MANTENIMIENTO,3,3,10,9,3,6,6816ad9504ea5839aa7ea92e
6816ad9504ea5839aa7eac4f,Mission add rock resource material business nor.,570453,91080.68,2025-05-03 18:58:13,2025-06-26 18:58:13,PAGADA,SOLICITUD_DESCARGA,SOLICITUD_DESCARGA,SOLICITUD_CARGA,CG,CN,RO,fire,work,garden,1,1,10,28996,10956,43942,28996,10956,439420,Seek site near Mrs join issue.,Approach tree safe level majority top nature.,Arm arrive everything human.,federal,right,,idea,should,discover,EN_USO,FUERA_DE_SERVICIO,,FUERA_DE_SERVICIO,EN_MANTENIMIENTO,DISPONIBLE,10,5,,4,6,5,6816ad9504ea5839aa7ea92f
6816ad9504ea5839aa7eac50,Me fear let stuff act.,190349,30391.83,2025-05-03 18:58:13,2025-07-01 18:58:13,CANCELADO,SOLICITUD_CARGA,,,RO,,,event,,,7,,,22851,,,159957,,,Because floor use list.,,,father,,question,,,,EN_USO,,EN_USO,,,,10,,8,,,,6816ad9504ea5839aa7ea930
6816ad9504ea5839aa7eac51,Various song get standard wait son.,438146,69956.1,2025-05-03 18:58:13,2025-06-13 18:58:13,CANCELADO,SOLICITUD_DESCARGA,SOLICITUD_DESCARGA,,GS,LQ,,black,paper,,3,9,,44412,26106,,133236,234954,,At yard art article to just.,Can best team.,,suffer,voice,condition,,,,EN_MANTENIMIENTO,FUERA_DE_SERVICIO,EN_MANTENIMIENTO,,,,2,10,10,,,,6816ad9504ea5839aa7ea931
6816ad9504ea5839aa7eac52,Result today clearly matter exist.,120402,19223.82,2025-05-03 18:58:13,2025-06-26 18:58:13,ATRASADO,SOLICITUD_DESCARGA,,,GS,,,under,,,7,,,14454,,,101178,,,Spring worry then outside approach national.,,,on,,,,,,EN_MANTENIMIENTO,,,,,,4,,,,,,6816ad9504ea5839aa7ea932
6816ad9504ea5839aa7eac53,South occur though most game full.,277489,44304.96,2025-05-03 18:58:13,2025-06-21 18:58:13,PENDIENTE,SOLICITUD_DESCARGA,SOLICITUD_DESCARGA,,GL,GS,,week,develop,,4,1,,46529,47068,,186116,47068,,Each blue thousand traditional environmental expert head.,Network bring arrive war trade score.,,Republican,loss,,,,,DISPONIBLE,FUERA_DE_SERVICIO,,,,,8,8,,,,,6816ad9504ea5839aa7ea933
6816ad9504ea5839aa7eac54,Service she yard others kid.,221868,35424.36,2025-05-03 18:58:13,2025-06-18 18:58:13,ATRASADO,SOLICITUD_DESCARGA,,,RO,,,others,,,6,,,31074,,,186444,,,Do difference sure discussion.,,,hour,,order,,,,EN_MANTENIMIENTO,,EN_USO,,,,5,,8,,,,6816ad9504ea5839aa7ea934
6816ad9504ea5839aa7eac55,Stop notice trade deal common positive.,204711,32684.94,2025-05-03 18:58:13,2025-06-07 18:58:13,PAGADA,SOLICITUD_DESCARGA,SOLICITUD_DESCARGA,,LQ,CN,,put,rather,,6,3,,16345,24652,,98070,73956,,Wrong key Republican range.,Notice day different crime.,,consumer,third,,,specific,,FUERA_DE_SERVICIO,FUERA_DE_SERVICIO,,,EN_MANTENIMIENTO,,4,1,,,9,,6816ad9504ea5839aa7ea935
6816ad9504ea5839aa7eac56,Interesting democratic natural listen tell.,461987,73762.56,2025-05-03 18:58:13,2025-07-01 18:58:13,ATRASADO,SOLICITUD_CARGA,,,GL,,,food,,,9,,,43136,,,388224,,,Whose ten miss might capital scene provide nearly.,,,rule,,,,,,FUERA_DE_SERVICIO,,,,,,3,,,,,,6816ad9504ea5839aa7ea936
6816ad9504ea5839aa7eac57,Arm official might kind since reason politics.,412759,65902.64,2025-05-03 18:58:13,2025-06-03 18:58:13,PAGADA,SOLICITUD_DESCARGA,SOLICITUD_DESCARGA,,RO,LQ,,response,particular,,2,8,,30960,35617,,61920,284936,,Mrs soon activity interesting strong tough cultural.,Stay expert number to than.,,must,team,,,worry,,FUERA_DE_SERVICIO,DISPONIBLE,,,DISPONIBLE,,7,10,,,7,,6816ad9504ea5839aa7ea937
6816ad9504ea5839aa7eac58,Capital themselves political let represent benefit term chair.,220840,35260.2,2025-05-03 18:58:13,2025-06-02 18:58:13,ATRASADO,SOLICITUD_CARGA,,,GL,,,more,,,9,,,20620,,,185580,,,Threat range themselves.,,,little,,ready,,,,EN_MANTENIMIENTO,,DISPONIBLE,,,,4,,8,,,,6816ad9504ea5839aa7ea938
6816ad9504ea5839aa7eac59,Put air unit.,510165,81454.9,2025-05-03 18:58:13,2025-06-22 18:58:13,ATRASADO,SOLICITUD_DESCARGA,SOLICITUD_CARGA,SOLICITUD_DESCARGA,GS,GS,RO,after,entire,wrong,8,6,6,10973,32012,24809,87784,192072,148854,Miss herself follow as everyone.,Success article no.,Far through call since which scene.,return,stop,,design,point,left,EN_USO,EN_USO,,DISPONIBLE,EN_USO,EN_MANTENIMIENTO,3,9,,8,7,7,6816ad9504ea5839aa7ea939
6816ad9504ea5839aa7eac5a,Only speak national health.,726377,115976.19,2025-05-03 18:58:13,2025-06-26 18:58:13,CANCELADO,SOLICITUD_CARGA,SOLICITUD_DESCARGA,SOLICITUD_CARGA,LQ,GS,GS,let,why,third,7,7,4,41566,27689,31404,290962,193823,125616,Risk man land because.,Spring its few.,Need begin continue them important.,course,help,,themselves,business,,EN_USO,EN_USO,,EN_USO,DISPONIBLE,,8,2,,6,3,,6816ad9504ea5839aa7ea93a
6816ad9504ea5839aa7eac5b,Note next her yourself.,463368,73983.15,2025-05-03 18:58:13,2025-06-28 18:58:13,PAGADA,SOLICITUD_DESCARGA,,,CN,,,son,,,9,,,43265,,,389385,,,Admit training however hand should.,,,trial,,style,,,,EN_MANTENIMIENTO,,EN_MANTENIMIENTO,,,,5,,8,,,,6816ad9504ea5839aa7ea93b
6816ad9504ea5839aa7eac5c,Recently often what little year.,364606,58214.48,2025-05-03 18:58:13,2025-06-02 18:58:13,ATRASADO,SOLICITUD_DESCARGA,SOLICITUD_CARGA,SOLICITUD_DESCARGA,GS,RO,LQ,draw,fall,compare,6,1,7,27846,42212,13872,167076,42212,97104,Rise thus message theory.,Wind camera old last method create hospital.,Represent which recently behavior.,social,dinner,,investment,safe,ready,DISPONIBLE,EN_USO,,FUERA_DE_SERVICIO,EN_USO,EN_USO,4,5,,6,7,10,6816ad9504ea5839aa7ea93c
6816ad9504ea5839aa7eac5d,Director well born book.,92753,14809.36,2025-05-03 18:58:13,2025-06-21 18:58:13,CANCELADO,SOLICITUD_CARGA,SOLICITUD_CARGA,,GL,GL,,let,green,,1,1,,49510,28434,,49510,28434,,Sea ability present tax.,Major can more control return growth.,,task,new,,,growth,,DISPONIBLE,DISPONIBLE,,,EN_USO,,10,8,,,10,,6816ad9504ea5839aa7ea93d
6816ad9504ea5839aa7eac5e,First often bed what impact seek.,70634,11277.64,2025-05-03 18:58:13,2025-07-02 18:58:13,PENDIENTE,SOLICITUD_DESCARGA,,,GL,,,fund,,,2,,,29678,,,59356,,,Current man she political never party technology hear.,,,senior,,,,,,FUERA_DE_SERVICIO,,,,,,3,,,,,,6816ad9504ea5839aa7ea93e
6816ad9504ea5839aa7eac5f,My paper still mind every military.,19909,3178.7,2025-05-03 18:58:13,2025-06-28 18:58:13,CANCELADO,SOLICITUD_CARGA,,,GS,,,produce,,,1,,,16730,,,16730,,,Production seek read program big sea.,,,approach,,,,,,EN_USO,,,,,,3,,,,,,6816ad9504ea5839aa7ea93f
6816ad9504ea5839aa7eac60,Process serve region health need big government.,93480,14925.45,2025-05-03 18:58:13,2025-06-10 18:58:13,PENDIENTE,SOLICITUD_CARGA,,,LQ,,,authority,,,3,,,26185,,,78555,,,Office occur eight knowledge.,,,morning,,,,,,DISPONIBLE,,,,,,4,,,,,,6816ad9504ea5839aa7ea940
6816ad9504ea5839aa7eac61,Sport sort event professional yard.,60485,9657.32,2025-05-03 18:58:13,2025-06-22 18:58:13,PAGADA,SOLICITUD_DESCARGA,,,CG,,,major,,,2,,,25414,,,50828,,,Half at wait listen simple western.,,,eat,,,,,,EN_MANTENIMIENTO,,,,,,4,,,,,,6816ad9504ea5839aa7ea941
6816ad9504ea5839aa7eac62,Few instead although best.,82640,13194.55,2025-05-03 18:58:13,2025-06-27 18:58:13,ATRASADO,SOLICITUD_CARGA,SOLICITUD_DESCARGA,,CG,CN,,cultural,mind,,4,1,,11502,23437,,46008,23437,,Six point somebody.,Special scene show talk drive.,,near,defense,,,,,EN_USO,EN_MANTENIMIENTO,,,,,1,1,,,,,6816ad9504ea5839aa7ea942
6816ad9504ea5839aa7eac63,Save sometimes world agent strong detail condition.,256484,40951.27,2025-05-03 18:58:13,2025-06-18 18:58:13,PENDIENTE,SOLICITUD_DESCARGA,SOLICITUD_DESCARGA,,RO,GS,,allow,statement,,3,4,,46931,18685,,140793,74740,,Compare try summer baby.,Including short feeling improve seem.,,discuss,treatment,subject,,,,EN_MANTENIMIENTO,EN_USO,EN_MANTENIMIENTO,,,,4,3,7,,,,6816ad9504ea5839aa7ea943
6816ad9504ea5839aa7eac64,Side back happen bit.,104691,16715.44,2025-05-03 18:58:13,2025-06-20 18:58:13,PENDIENTE,SOLICITUD_CARGA,,,GL,,,support,,,4,,,21994,,,87976,,,Top plant machine case.,,,cell,,,,,,FUERA_DE_SERVICIO,,,,,,9,,,,,,6816ad9504ea5839aa7ea944
